clean_paragraph_index	clean_style	classification	best_submitted_paragraph_index	similarity_score	sequence_ratio	containment	jaccard	clean_excerpt	submitted_excerpt
62	Body Text	REVISION_ADDITION_CANDIDATE	45	0.209737	0.038462	0.250000	0.026316	(B) Median bacterial-minus-viral module-score differences in the main GSE73461 projection and in the primary-only z-score sensitivity analysis. Positive values indicate higher s...	Declarations and availability statements
63	Body Text	REVISION_ADDITION_CANDIDATE	45	0.207609	0.021053	0.250000	0.014493	(C) BH-adjusted Wilcoxon P values for the main projection and the primary-only z-score sensitivity analysis are shown as independent points for each categorical module. Circles ...	Declarations and availability statements
65	Normal	REVISION_ADDITION_CANDIDATE	26	0.269231	0.269231	0.214286	0.194444	Table 1. External evaluation of the five predefined GSE211567 discovery modules in GSE73461	Figure 2. Fixed external projection of locked GSE211567 modules in GSE73461. (A) Module-score distributions in DefiniteBacterial and DefiniteViral samples. (B) Main and primary-...
66	Normal	REVISION_ADDITION_CANDIDATE	18	0.428571	0.428571	0.343750	0.448980	Module scores were calculated using the pre-specified unweighted mean z-score rule without gene reselection, module redefinition, reweighting or diagnostic model training. The p...	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...
67	First Paragraph	REVISION_ADDITION_CANDIDATE	9	0.290753	0.160000	0.333333	0.096774	Discovery direction: Direction assigned during GSE211567 discovery-module locking before external projection.	Public infection transcriptomic cohorts are valuable for this purpose but require safeguards because samples may differ by geography, clinical syndrome, pathogen spectrum, platf...
68	Body Text	REVISION_ADDITION_CANDIDATE	18	0.205882	0.205882	0.125000	0.217391	Locked genes: Number of genes fixed in the locked GSE211567 discovery module before GSE73461 projection.	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...
69	Body Text	REVISION_ADDITION_CANDIDATE	45	0.214474	0.083333	0.250000	0.052632	Genes scored in GSE73461: Number of locked module genes successfully mapped and scored in GSE73461 after Illumina probe annotation.	Declarations and availability statements
70	Body Text	REVISION_ADDITION_CANDIDATE	27	0.217391	0.217391	0.050000	0.194444	Main projection result: Median bacterial-minus-viral module-score difference and Benjamini-Hochberg adjusted Wilcoxon P value from the main GSE73461 projection analysis.	Alt text for Figure 2: A three-panel figure showing external fixed-module projection results in GSE73461, including module-score distributions, main-versus-sensitivity median di...
71	Body Text	REVISION_ADDITION_CANDIDATE	21	0.404762	0.404762	0.281250	0.395833	Primary-only z-score sensitivity result: Median bacterial-minus-viral module-score difference and Benjamini-Hochberg adjusted Wilcoxon P value after gene-wise z-scoring using on...	Primary-only z-score sensitivity confirms robustness to the scoring reference set To test whether the projection result depended on including Control samples in the z-score refe...
72	Body Text	REVISION_ADDITION_CANDIDATE	45	0.213571	0.086957	0.250000	0.047619	Interpretation tier: Conservative interpretation based on direction concordance, statistical support and robustness in the primary-only z-score sensitivity analysis.	Declarations and availability statements
73	Body Text	REVISION_ADDITION_CANDIDATE	15	0.358095	0.051724	0.428571	0.037037	Abbreviations: BH, Benjamini-Hochberg; OXPHOS, oxidative phosphorylation.	Two locked modules were bacterial-higher: BACT_M1, representing a cytoplasmic translation and ribosomal protein programme, and BACT_M2, representing mitochondrial respiration an...
74	Body Text	NEAR_UNCHANGED	34	0.970000	0.426230	1.000000	0.320513	Table 1 reports fixed-module external projection. It should not be interpreted as diagnostic classifier discovery, model training, gene rediscovery, module redefinition or causa...	Conclusion In conclusion, site-aware discovery followed by fixed external projection identified host-response programmes with varying degrees of transportability across infectio...
75	Heading 1	REVISION_ADDITION_CANDIDATE	45	0.225000	0.200000	0.250000	0.111111	GSE72810 provides accession-level and cross-platform validation	Declarations and availability statements
76	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.210000	0.047619	0.250000	0.027778	The GSE72810 primary contrast contained 23 definite bacterial and 28 definite viral samples. Coverage of the predefined module genes remained high after Entrez reconciliation an...	Declarations and availability statements
77	Body Text	REVISION_ADDITION_CANDIDATE	45	0.208333	0.018868	0.250000	0.018519	BACT_M2 had a Hodges-Lehmann bacterial-minus-viral shift of +0.425 (95% CI +0.161 to +0.676; adjusted P = 0.0020). VIR_M1a, VIR_M1b and VIR_M2 had shifts of -0.726 (95% CI -0.90...	Declarations and availability statements
78	Heading 1	REVISION_ADDITION_CANDIDATE	2	0.232000	0.214286	0.250000	0.150000	Cross-cohort effects support four modules in both cohorts	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
79	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.207571	0.020202	0.250000	0.014286	For harmonised cross-cohort comparison, Fig 3 and Table 2 report Hodges-Lehmann bacterial-minus-viral shifts with bootstrap 95% confidence intervals; these estimates are distinc...	Declarations and availability statements
80	Normal	REVISION_ADDITION_CANDIDATE	26	0.235294	0.235294	0.153846	0.166667	Fig 3. Cross-cohort validation of locked module effects in GSE73461 and GSE72810	Figure 2. Fixed external projection of locked GSE211567 modules in GSE73461. (A) Module-score distributions in DefiniteBacterial and DefiniteViral samples. (B) Main and primary-...
81	First Paragraph	REVISION_ADDITION_CANDIDATE	3	0.170667	0.068966	0.200000	0.037037	Hodges-Lehmann bacterial-minus-viral module-score shifts are shown with stratified nonparametric bootstrap 95% confidence intervals for the five modules predefined in the GSE211...	Reuben S. Maghembe1,2*
82	Body Text	REVISION_ADDITION_CANDIDATE	45	0.210806	0.040816	0.250000	0.032258	Positive estimates indicate higher module scores in bacterial samples, whereas negative estimates indicate higher scores in viral samples. GSE73461 contained 52 DefiniteBacteria...	Declarations and availability statements
83	Body Text	REVISION_ADDITION_CANDIDATE	19	0.224490	0.224490	0.100000	0.196970	BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 retained their expected directions with confidence intervals excluding zero and BH-adjusted Wilcoxon P values below 0.05 in both cohorts. BA...	All five modules showed expected-direction concordance in GSE73461 (Figure 2A; Table 1). BACT_M2 was higher in DefiniteBacterial than DefiniteViral samples, with a median bacter...
84	Body Text	REVISION_ADDITION_CANDIDATE	18	0.376812	0.376812	0.294118	0.288889	The modules were scored without gene reselection, module redefinition, gene reweighting, direction flipping or diagnostic-model training.	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...
85	Body Text	REVISION_ADDITION_CANDIDATE	45	0.208830	0.034483	0.250000	0.021277	GSE72810 was analysed as a second accession-level and sample-level cohort providing cross-platform validation. Its GSM accession set was disjoint from GSE73461 and it used a dif...	Declarations and availability statements
86	Normal	REVISION_ADDITION_CANDIDATE	3	0.188000	0.117647	0.200000	0.133333	Table 2. Cross-cohort Hodges-Lehmann effects for the five locked host-response modules	Reuben S. Maghembe1,2*
87	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.210294	0.050000	0.250000	0.029412	Effects are Hodges-Lehmann bacterial-minus-viral location shifts with bootstrap 95% confidence intervals. Positive values indicate bacterial-higher scores and negative values in...	Declarations and availability statements
88	Body Text	REVISION_ADDITION_CANDIDATE	23	0.271186	0.271186	0.212121	0.166667	The cross-cohort pattern therefore supported four modules under both effect-size and adjusted-significance criteria. The strongest and most consistent signals were the viral-ass...	Together, these results support external transportability of a pre-specified bacterial- and viral- associated host-response module architecture from GSE211567 into an independen...
89	Heading 1	REVISION_ADDITION_CANDIDATE	46	0.209865	0.041667	0.250000	0.027027	Sensitivity analyses retain direction but identify method-dependent support	Data Availability All transcriptomic datasets analysed in this study are publicly available from the NCBI Gene Expression Omnibus. The discovery analysis used GSE211567, and the...
90	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.208673	0.030769	0.250000	0.020408	Across the two GSE73461 z-reference analyses and four GSE72810 z-reference, case-definition and probe-collapse analyses, all 30 module estimates retained the expected direction ...	Declarations and availability statements
91	Body Text	REVISION_ADDITION_CANDIDATE	45	0.208333	0.024390	0.250000	0.018519	The GSVA analysis retained all expected directions but showed non-uniform inferential support (S1 Fig, panel B). BACT_M2, VIR_M1a and VIR_M1b remained supported under both mean-...	Declarations and availability statements
92	Heading 1	REVISION_ADDITION_CANDIDATE	7	0.127143	0.100000	0.142857	0.055556	Exhaustive deletion analysis supports distributed module signal	Keywords: host transcriptomics; bacterial infection; viral infection; interferon response; immune metabolism; module transportability
93	First Paragraph	NEAR_UNCHANGED	11	0.823158	0.028169	1.000000	0.017544	The leave-one/two-gene analysis evaluated 29,826 module variants across the two GSE73461 scoring populations (S1 Fig, panel C). Every variant retained the expected module direct...	Results
94	Heading 1	NEAR_UNCHANGED	29	0.822857	0.025974	1.000000	0.015873	Discussion	Discussion This study used a site-aware discovery and fixed-module projection workflow to evaluate host-response module transportability across public infection transcriptomic c...
95	First Paragraph	REVISION_ADDITION_CANDIDATE	29	0.236025	0.236025	0.052632	0.231481	This study evaluated whether biologically curated whole-blood host-response modules discovered in GSE211567 retained their prespecified bacterial-higher or viral-higher behaviou...	Discussion This study used a site-aware discovery and fixed-module projection workflow to evaluate host-response module transportability across public infection transcriptomic c...
96	Body Text	MODIFIED_CANDIDATE	30	0.605108	0.483333	0.666667	0.324675	The viral-associated modules showed the strongest transportability. VIR_M1a and VIR_M1b captured broad antiviral, interferon-stimulated and viral-restriction programmes, while V...	The viral-associated modules showed the clearest external transportability. VIR_M1a and VIR_M1b captured broad antiviral, interferon-stimulated and viral-restriction programmes,...
97	Body Text	REVISION_ADDITION_CANDIDATE	45	0.207609	0.024096	0.250000	0.014493	The sensitivity analyses refine rather than uniformly strengthen this interpretation. Direction was stable across z-reference populations, GSE72810 case definitions and probe ha...	Declarations and availability statements
98	Body Text	REVISION_ADDITION_CANDIDATE	32	0.397260	0.397260	0.084507	0.302083	The principal contribution is not a diagnostic classifier, but a transparent framework for asking whether predefined biological modules retain their behaviour in new datasets. F...	The principal contribution is not a new diagnostic classifier, but a conservative framework for testing whether discovery-derived biological modules remain directionally coheren...
99	Body Text	REVISION_ADDITION_CANDIDATE	33	0.440678	0.440678	0.138889	0.427481	Several limitations remain. Public metadata and infection adjudication were imperfect, and the cohorts differed in age, syndrome, pathogen composition, platform and preprocessin...	Several limitations should guide interpretation, particularly because bacterial-versus-viral adjudication and host-response studies can be affected by imperfect reference standa...
101	Heading 1	EXACT_UNCHANGED	70	1.000000	1.000000	1.000000	1.000000	Supplementary material	Supplementary Material
102	First Paragraph	REVISION_ADDITION_CANDIDATE	70	0.416429	0.060606	0.500000	0.035714	Supplementary Tables S1-S5 retain the original external-cohort search register, locked GSE211567 module definitions, GSE73461 identifier coverage and probe choices, GSE73461 sam...	Supplementary Material
103	Body Text	NEAR_UNCHANGED	11	0.822609	0.018868	1.000000	0.014493	Supplementary Table S6 (parts S6A-S6D) provides the GSE72810 cohort audit, sample-classification framework, locked primary and expanded contrasts, and cross-cohort independence ...	Results
104	Body Text	REVISION_ADDITION_CANDIDATE	45	0.214000	0.086957	0.250000	0.050000	S1 Fig presents z-reference, case-definition and probe-collapse sensitivity, mean-z versus GSVA scoring-method sensitivity, and exhaustive leave-one/two-gene robustness.	Declarations and availability statements
105	Heading 1	REVISION_ADDITION_CANDIDATE	47	0.411111	0.008032	0.500000	0.006173	Transparency declaration	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
106	Heading 1	REVISION_ADDITION_CANDIDATE	2	0.283922	0.086957	0.333333	0.058824	Conflicts of interest	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
107	First Paragraph	NEAR_UNCHANGED	47	0.970000	0.055118	1.000000	0.043478	The author declares no competing interests.	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
108	Heading 1	REVISION_ADDITION_CANDIDATE	1	0.000000	0.000000	0.000000	0.000000	Funding	Manuscript Click here to access/download;Manuscript;PLOS_ONE_manuscript_18_6_202
