title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	taxid_ch1	data_processing	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	supplementary_file_1
Sample 11_Paediatric pneumonia_11	GSM8144998	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938540	NONE
Sample 12_Paediatric pneumonia_12	GSM8144999	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938541	NONE
Sample 13_Paediatric pneumonia_13	GSM8145000	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938542	NONE
Sample 14_Paediatric pneumonia_14	GSM8145001	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938543	NONE
Sample 15_Paediatric pneumonia_15	GSM8145002	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938544	NONE
Sample 16_Paediatric pneumonia_16	GSM8145003	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938545	NONE
Sample 17_Paediatric pneumonia_17	GSM8145004	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938546	NONE
Sample 18_Paediatric pneumonia_18	GSM8145005	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938547	NONE
Sample 19_Paediatric pneumonia_19	GSM8145006	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938548	NONE
Sample 20_Paediatric pneumonia_20	GSM8145007	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938549	NONE
Sample 21_Paediatric pneumonia_21	GSM8145008	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938550	NONE
Sample 22_Paediatric pneumonia_22	GSM8145009	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938551	NONE
Sample 23_Paediatric pneumonia_23	GSM8145010	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938552	NONE
Sample 24_Paediatric pneumonia_24	GSM8145011	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938553	NONE
Sample 25_Paediatric pneumonia_25	GSM8145012	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938578	NONE
Sample 26_Paediatric pneumonia_26	GSM8145013	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938579	NONE
Sample 27_Paediatric pneumonia_27	GSM8145014	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938580	NONE
Sample 28_Paediatric pneumonia_28	GSM8145015	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938581	NONE
Sample 29_Paediatric pneumonia_29	GSM8145016	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938582	NONE
Sample 30_Paediatric pneumonia_30	GSM8145017	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938583	NONE
Sample 31_Paediatric pneumonia_31	GSM8145018	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938584	NONE
Sample 32_Paediatric pneumonia_32	GSM8145019	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938585	NONE
Sample 33_Paediatric pneumonia_33	GSM8145020	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938586	NONE
Sample 34_Paediatric pneumonia_34	GSM8145021	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938587	NONE
Sample 35_Paediatric pneumonia_35	GSM8145022	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938588	NONE
Sample 36_Paediatric pneumonia_36	GSM8145023	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938589	NONE
Sample 37_Paediatric pneumonia_37	GSM8145024	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938590	NONE
Sample 38_Paediatric pneumonia_38	GSM8145025	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938591	NONE
