normalized_title_label	gse72810_geo_accession	gse72810_title	gse73461_geo_accession	gse73461_title	exact_full_title_match	accession_match	interpretation
unknown04	GSM1872735	Unknown_04 [validation]	GSM1894678	Unknown_04	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown05	GSM1872736	Unknown_05 [validation]	GSM1894679	Unknown_05	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown06	GSM1872737	Unknown_06 [validation]	GSM1894680	Unknown_06	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown07	GSM1872738	Unknown_07 [validation]	GSM1894681	Unknown_07	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown08	GSM1872739	Unknown_08 [validation]	GSM1894682	Unknown_08	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown09	GSM1872740	Unknown_09 [validation]	GSM1894683	Unknown_09	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown10	GSM1872741	Unknown_10 [validation]	GSM1894684	Unknown_10	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown11	GSM1872742	Unknown_11 [validation]	GSM1894685	Unknown_11	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown12	GSM1872743	Unknown_12 [validation]	GSM1894686	Unknown_12	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown13	GSM1872744	Unknown_13 [validation]	GSM1894687	Unknown_13	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown14	GSM1872745	Unknown_14 [validation]	GSM1894688	Unknown_14	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown15	GSM1872746	Unknown_15 [validation]	GSM1894689	Unknown_15	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown16	GSM1872747	Unknown_16 [validation]	GSM1894690	Unknown_16	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown17	GSM1872748	Unknown_17 [validation]	GSM1894691	Unknown_17	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown18	GSM1872749	Unknown_18 [validation]	GSM1894692	Unknown_18	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown19	GSM1872750	Unknown_19 [validation]	GSM1894693	Unknown_19	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown20	GSM1872751	Unknown_20 [validation]	GSM1894694	Unknown_20	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown21	GSM1872752	Unknown_21 [validation]	GSM1894695	Unknown_21	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown22	GSM1872753	Unknown_22 [validation]	GSM1894696	Unknown_22	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown23	GSM1872754	Unknown_23 [validation]	GSM1894697	Unknown_23	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown24	GSM1872755	Unknown_24 [validation]	GSM1894698	Unknown_24	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown25	GSM1872756	Unknown_25 [validation]	GSM1894699	Unknown_25	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown26	GSM1872757	Unknown_26 [validation]	GSM1894700	Unknown_26	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown27	GSM1872758	Unknown_27 [validation]	GSM1894701	Unknown_27	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown28	GSM1872759	Unknown_28 [validation]	GSM1894702	Unknown_28	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown29	GSM1872760	Unknown_29 [validation]	GSM1894703	Unknown_29	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown30	GSM1872761	Unknown_30 [validation]	GSM1894704	Unknown_30	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown31	GSM1872762	Unknown_31 [validation]	GSM1894705	Unknown_31	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown32	GSM1872763	Unknown_32 [validation]	GSM1894706	Unknown_32	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown33	GSM1872764	Unknown_33 [validation]	GSM1894707	Unknown_33	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown34	GSM1872765	Unknown_34 [validation]	GSM1894708	Unknown_34	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown35	GSM1872766	Unknown_35 [validation]	GSM1894709	Unknown_35	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown36	GSM1872767	Unknown_36 [validation]	GSM1894710	Unknown_36	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown37	GSM1872768	Unknown_37 [validation]	GSM1894711	Unknown_37	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown38	GSM1872769	Unknown_38 [validation]	GSM1894712	Unknown_38	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown39	GSM1872770	Unknown_39 [validation]	GSM1894713	Unknown_39	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown40	GSM1872771	Unknown_40 [validation]	GSM1894714	Unknown_40	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown41	GSM1872772	Unknown_41 [validation]	GSM1894715	Unknown_41	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown42	GSM1872773	Unknown_42 [validation]	GSM1894716	Unknown_42	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown43	GSM1872774	Unknown_43 [validation]	GSM1894717	Unknown_43	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown44	GSM1872775	Unknown_44 [validation]	GSM1894718	Unknown_44	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown45	GSM1872776	Unknown_45 [validation]	GSM1894719	Unknown_45	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown46	GSM1872777	Unknown_46 [validation]	GSM1894720	Unknown_46	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown47	GSM1872778	Unknown_47 [validation]	GSM1894721	Unknown_47	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown48	GSM1872779	Unknown_48 [validation]	GSM1894722	Unknown_48	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown49	GSM1872780	Unknown_49 [validation]	GSM1894723	Unknown_49	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown50	GSM1872781	Unknown_50 [validation]	GSM1894724	Unknown_50	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown51	GSM1872782	Unknown_51 [validation]	GSM1894725	Unknown_51	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown52	GSM1872783	Unknown_52 [validation]	GSM1894726	Unknown_52	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown53	GSM1872784	Unknown_53 [validation]	GSM1894727	Unknown_53	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown54	GSM1872785	Unknown_54 [validation]	GSM1894728	Unknown_54	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown55	GSM1872786	Unknown_55 [validation]	GSM1894729	Unknown_55	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
